ID,No.,Name,Team,Nationality,Age,Batting style,Bowling style,Salary,Notes
1,9,Ambati Rayudu,CSK,India,37,Right-handed,Right-arm off break,661500.0,
2,21,Ajinkya Rahane,CSK,India,34,Right-handed,Right-arm off spin,49000.0,
3,31,Ruturaj Gaikwad,CSK,India,26,Right-handed,Right-arm off break,588000.0,
4,66,Shaik Rasheed,CSK,India,18,Right-handed,Right-arm Leg spin,19600.0,
5,88,Devon Conway,CSK,New Zealand,31,Left-handed,Right-arm medium,98000.0,Overseas
6,—,Subhranshu Senapati,CSK,India,26,Right-handed,Right-arm medium,19600.0,
7,7,MS Dhoni,CSK,India,41,Right-handed,Right-arm medium,1176000.0,Captain
8,8,Ravindra Jadeja,CSK,India,34,Left-handed,Left-arm slow orthodox,1568000.0,
9,10,Rajvardhan Hangargekar,CSK,India,20,Right-handed,Right-arm fast-medium,147000.0,
10,18,Moeen Ali,CSK,England,35,Left-handed,Right-arm off break,784000.0,Overseas
11,19,Ajay Mandal,CSK,India,27,Left-handed,Left-arm slow orthodox,19600.0,
12,25,Shivam Dube,CSK,India,29,Left-handed,Right-arm medium,392000.0,
13,27,Nishant Sindhu,CSK,India,19,Left-handed,Left-arm slow orthodox,58800.0,
14,29,Dwaine Pretorius,CSK,South Africa,34,Right-handed,Right-arm medium,49000.0,Overseas
15,55,Ben Stokes,CSK,England,31,Left-handed,Right-arm fast-medium,1592500.0,Overseas
16,74,Mitchell Santner,CSK,New Zealand,31,Left-handed,Left-arm slow orthodox,186200.0,Overseas
17,—,Bhagath Varma,CSK,India,24,Right-handed,Right-arm Off-break,19600.0,
18,46,Prashant Solanki,CSK,India,23,Right-handed,Right-arm leg spin,117600.0,
19,61,Maheesh Theekshana,CSK,Sri Lanka,22,Right-handed,Right-arm off break,68600.0,Overseas
20,24,Tushar Deshpande,CSK,India,28,Left-handed,Right-arm medium,19600.0,
21,33,Mukesh Choudhary,CSK,India,26,Left-handed,Left-arm medium-fast,19600.0,
22,90,Deepak Chahar,CSK,India,30,Right-handed,Right-arm medium-fast,1372000.0,
23,98,Simarjeet Singh,CSK,India,25,Right-handed,Right-arm medium-fast,19600.0,
24,99,Matheesha Pathirana,CSK,Sri Lanka,20,Right-handed,Right-arm medium-fast,19600.0,Overseas
25,—,Akash Singh,CSK,India,21,Left-handed,Left-arm medium-fast,19600.0,Replacement for Mukesh Choudhary
26,—,Kyle Jamieson,CSK,New Zealand,28,Right-handed,Right-arm Fast,98000.0,Overseas
27,—,Sisanda Magala,CSK,South Africa,32,Right-handed,Right-arm fast-medium,49000.0,Overseas; Replacement for Kyle Jamieson
28,8,Tim David,MI,Australia,27,Right-handed,Right-arm off break,808500.0,Overseas
29,13,Ramandeep Singh,MI,India,26,Right-handed,Right-arm medium,19600.0,
30,19,Nehal Wadhera,MI,India,22,Left-handed,Right-arm leg break,19600.0,
31,45,Rohit Sharma,MI,India,36,Right-handed,Right-arm off break,1568000.0,Captain
32,63,Suryakumar Yadav,MI,India,32,Right-handed,Right-arm medium,784000.0,
33,9,Tilak Varma,MI,India,20,Left-handed,Right-arm off break,166600.0,
34,17,Dewald Brevis,MI,South Africa,20,Right-handed,Right-arm leg break,294000.0,Overseas
35,33,Piyush Chawla,MI,India,34,Left-handed,Right-arm leg break,49000.0,
36,42,Cameron Green,MI,Australia,23,Right-handed,Right-arm fast-medium,1715000.0,Overseas
37,—,Shams Mulani,MI,India,26,Left-handed,Left-arm orthodox,19600.0,
38,4,Vishnu Vinod,MI,India,29,Right-handed,-,19600.0,
39,12,Tristan Stubbs,MI,South Africa,22,Right-handed,Right-arm off break,19600.0,Overseas
40,23,Ishan Kishan,MI,India,24,Left-handed,-,1494500.0,
41,26,Kumar Kartikeya,MI,India,25,Right-handed,Left-arm spinner,19600.0,
42,27,Hrithik Shokeen,MI,India,22,Right-handed,Right-arm off break,19600.0,
43,—,Raghav Goyal,MI,India,22,Left-handed,Left-arm orthodox,19600.0,
44,5,Jason Behrendorff,MI,Australia,33,Left-handed,Left-arm fast-medium,73500.0,Overseas
45,14,Duan Jansen,MI,South Africa,23,Right-handed,Left-arm fast,19600.0,Overseas
46,20,Arshad Khan,MI,India,25,Left-handed,Left-arm medium,19600.0,
47,21,Riley Meredith,MI,Australia,26,Right-handed,Right-arm fast,49000.0,Overseas; Replacement for Jhye Richardson
48,22,Jofra Archer,MI,England,28,Right-handed,Right-arm fast,784000.0,Overseas
49,24,Arjun Tendulkar,MI,India,23,Left-handed,Left-arm medium-fast,29400.0,
50,34,Chris Jordan,MI,England,34,Right-handed,Right-arm fast-medium,194853.0,Overseas; Replacement for Jofra Archer
51,60,Jhye Richardson,MI,Australia,26,Right-handed,Right-arm fast,147000.0,Overseas
52,93,Jasprit Bumrah,MI,India,29,Right-handed,Right-arm fast,1176000.0,
53,—,Akash Madhwal,MI,India,28,Right-handed,Left-arm medium-fast,19600.0,
54,—,Sandeep Warrier,MI,India,32,Right-handed,Right-arm medium,19600.0,Replacement for Jasprit Bumrah
55,18,Manan Vohra,LSG,India,29,Right-handed,Right-arm fast-medium,19600.0,
56,3,Ayush Badoni,LSG,India,23,Right-handed,Right-arm off break,19600.0,
57,1,KL Rahul,LSG,India,31,Right-handed,Right-arm medium,1666000.0,Captain
58,12,Quinton de Kock,LSG,South Africa,30,Left-handed,,661500.0,Overseas
59,29,Nicholas Pooran,LSG,West Indies,27,Left-handed,Right-arm off break,1568000.0,Overseas
60,7,Krishnappa Gowtham,LSG,India,34,Right-handed,Right-arm off break,88200.0,
61,17,Marcus Stoinis,LSG,Australia,33,Right-handed,Right-arm medium,901600.0,Overseas
