ID,Name,Team,Nationality,Age,Salary £,Value,Net value
1,A. Rayudu,CSK,India,37,661500.0,125044.56000000001,-536455.44
2,A. Rahane,CSK,India,34,49000.0,536156.01,487156.01
3,R. Gaikwad,CSK,India,26,588000.0,982684.7100000001,394684.7100000001
4,S. Rasheed,CSK,India,18,19600.0,506372.13,486772.13
5,D. Conway,CSK,New Zealand,31,98000.0,1183379.22,1085379.22
6,S. Senapati,CSK,India,26,19600.0,506372.13,486772.13
7,M. Dhoni,CSK,India,41,1176000.0,391016.97000000003,-784983.03
8,R. Jadeja,CSK,India,34,1568000.0,634072.86,-933927.14
9,R. Hangargekar,CSK,India,20,147000.0,470878.11000000004,323878.11000000004
10,M. Ali,CSK,England,35,784000.0,375044.58,-408955.42
11,A. Mandal,CSK,India,27,19600.0,506372.13,486772.13
12,S. Dube,CSK,India,29,392000.0,694489.9500000001,302489.95000000007
13,N. Sindhu,CSK,India,19,58800.0,506372.13,447572.13
14,D. Pretorius,CSK,South Africa,34,49000.0,342405.63,293405.63
15,B. Stokes,CSK,England,31,1592500.0,261850.32,-1330649.68
16,M. Santner,CSK,New Zealand,31,186200.0,406989.36000000004,220789.36000000004
17,B. Varma,CSK,India,24,19600.0,506372.13,486772.13
18,P. Solanki,CSK,India,23,117600.0,506372.13,388772.13
19,M. Theekshana,CSK,Sri Lanka,22,68600.0,184072.5,115472.5
20,T. Deshpande,CSK,India,28,19600.0,479211.39,459611.39
21,M. Choudhary,CSK,India,26,19600.0,506372.13,486772.13
22,D. Chahar,CSK,India,30,1372000.0,566017.4700000001,-805982.5299999999
23,S. Singh,CSK,India,25,19600.0,506372.13,486772.13
24,M. Pathirana,CSK,Sri Lanka,20,19600.0,855600.5700000001,836000.5700000001
25,A. Singh,CSK,India,21,19600.0,280600.2,261000.2
26,K. Jamieson,CSK,New Zealand,28,98000.0,506372.13,408372.13
27,S. Magala,CSK,South Africa,32,49000.0,345183.93000000005,296183.93000000005
28,T. David,MI,Australia,27,808500.0,436155.84,-372344.16
29,R. Singh,MI,India,26,19600.0,381954.5685,362354.5685
30,N. Wadhera,MI,India,22,19600.0,394489.44,374889.44
31,R. Sharma,MI,India,36,1568000.0,153516.87000000002,-1414483.13
32,S. Yadav,MI,India,32,784000.0,953517.42,169517.42000000004
33,T. Varma,MI,India,20,166600.0,381954.5685,215354.5685
34,D. Brevis,MI,South Africa,20,294000.0,381954.5685,87954.5685
35,P. Chawla,MI,India,34,49000.0,655601.04,606601.04
36,C. Green,MI,Australia,23,1715000.0,535461.8400000001,-1179538.16
37,S. Mulani,MI,India,26,19600.0,381954.5685,362354.5685
38,V. Vinod,MI,India,29,19600.0,293100.12,273500.12
39,T. Stubbs,MI,South Africa,22,19600.0,361850.49000000005,342250.49000000005
40,I. Kishan,MI,India,24,1494500.0,584073.18,-910426.82
41,K. Kartikeya,MI,India,25,19600.0,145877.76,126277.76000000001
42,H. Shokeen,MI,India,22,19600.0,154906.02000000002,135306.02000000002
43,R. Goyal,MI,India,22,19600.0,320878.26,301278.26
44,J. Behrendorff,MI,Australia,33,73500.0,431295.03,357795.03
45,D. Jansen,MI,South Africa,23,19600.0,347961.42000000004,328361.42000000004
46,A. Khan,MI,India,25,19600.0,213933.15000000002,194333.15000000002
47,R. Meredith,MI,Australia,26,49000.0,381294.54000000004,332294.54000000004
48,J. Archer,MI,England,28,784000.0,111155.49,-672844.51
49,A. Tendulkar,MI,India,23,29400.0,362544.66000000003,333144.66000000003
50,C. Jordan,MI,England,34,194853.0,-74955.78,-269808.78
51,J. Richardson,MI,Australia,26,147000.0,381954.5685,234954.5685
52,J. Bumrah,MI,India,29,1176000.0,381954.5685,-794045.4315
53,A. Madhwal,MI,India,28,19600.0,876434.5800000001,856834.5800000001
54,S. Warrier,MI,India,32,19600.0,381954.5685,362354.5685
55,M. Vohra,LSG,India,29,19600.0,359767.17000000004,340167.17000000004
56,A. Badoni,LSG,India,23,19600.0,386850.33,367250.33
57,K. Rahul,LSG,India,31,1666000.0,541711.8,-1124288.2
58,Q. Kock,LSG,South Africa,30,661500.0,486156.33,-175343.66999999998
59,N. Pooran,LSG,West Indies,27,1568000.0,547961.76,-1020038.24
60,K. Gowtham,LSG,India,34,88200.0,338238.99000000005,250038.99000000005
